lambda test
3.162277660168379134e-02 5.418000030517578125e+01
2.818382931264453578e-02 5.531999969482421875e+01
2.511886431509579437e-02 5.629999923706054688e+01
2.238721138568339902e-02 5.716999816894531250e+01
1.995262314968879874e-02 5.784999847412109375e+01
1.778279410038922925e-02 5.838999938964843750e+01
1.584893192461113431e-02 5.848999786376953125e+01
1.412537544622754007e-02 5.848999786376953125e+01
1.258925411794167490e-02 5.943000030517578125e+01
1.122018454301963557e-02 5.872999954223632812e+01
1.000000000000000021e-02 5.930999755859375000e+01
8.912509381337458889e-03 5.900000000000000000e+01
5.623413251903490971e-03 5.878999710083007812e+01
5.011872336272724625e-03 5.904999923706054688e+01
3.162277660168379394e-03 6.169999694824218750e+01
2.818382931264454792e-03 6.314999771118164062e+01
2.511886431509579437e-03 6.440000152587890625e+01
2.238721138568339902e-03 6.504000091552734375e+01
1.995262314968878920e-03 6.500000000000000000e+01
1.778279410038922752e-03 6.627999877929687500e+01
1.584893192461114082e-03 6.665000152587890625e+01
1.412537544622753964e-03 6.672000122070312500e+01
1.258925411794167490e-03 6.831999969482421875e+01
1.122018454301963036e-03 6.747999572753906250e+01
1.000000000000000021e-03 6.851999664306640625e+01
