lambda test
1.000000000000000056e-01 3.641999816894531250e+01
3.162277660168379134e-02 7.836000061035156250e+01
1.000000000000000021e-02 8.045999908447265625e+01
8.912509381337458889e-03 8.063999938964843750e+01
3.162277660168379394e-03 8.486000061035156250e+01
2.818382931264454792e-03 8.470999908447265625e+01
2.511886431509579437e-03 8.422000122070312500e+01
2.238721138568339902e-03 8.345999908447265625e+01
1.995262314968878920e-03 8.475999450683593750e+01
1.778279410038922752e-03 8.430999755859375000e+01
1.584893192461114082e-03 8.454999542236328125e+01
1.412537544622753964e-03 8.511000061035156250e+01
1.258925411794167490e-03 8.511999511718750000e+01
1.122018454301963036e-03 8.447000122070312500e+01
1.000000000000000021e-03 8.465999603271484375e+01
